train_step 382	train_loss 0.8713	CE_Loss 0.8713
train_step 383	train_loss 0.9087	CE_Loss 0.9087
train_step 384	train_loss 0.7730	CE_Loss 0.7730
train_step 385	train_loss 0.8859	CE_Loss 0.8859
train_step 386	train_loss 0.8739	CE_Loss 0.8739
train_step 387	train_loss 0.9893	CE_Loss 0.9893
train_step 388	train_loss 0.9384	CE_Loss 0.9384
train_step 389	train_loss 0.8861	CE_Loss 0.8861
train_step 390	train_loss 0.9327	CE_Loss 0.9327
train_step 391	train_loss 0.9238	CE_Loss 0.9238
train_step 392	train_loss 0.9423	CE_Loss 0.9423
train_step 393	train_loss 0.6810	CE_Loss 0.6810
train_step 394	train_loss 0.9600	CE_Loss 0.9600
train_step 395	train_loss 0.6739	CE_Loss 0.6739
train_step 396	train_loss 0.9007	CE_Loss 0.9007
train_step 397	train_loss 0.8867	CE_Loss 0.8867
train_step 398	train_loss 0.9112	CE_Loss 0.9112
train_step 399	train_loss 0.9188	CE_Loss 0.9188
train_step 400	train_loss 0.8719	CE_Loss 0.8719
train_step 401	train_loss 0.7206	CE_Loss 0.7206
train_step 402	train_loss 0.7249	CE_Loss 0.7249
train_step 403	train_loss 2.1710	CE_Loss 2.1710
train_step 404	train_loss 0.8533	CE_Loss 0.8533
train_step 405	train_loss 0.7525	CE_Loss 0.7525
train_step 406	train_loss 0.6705	CE_Loss 0.6705
train_step 407	train_loss 0.7789	CE_Loss 0.7789
train_step 408	train_loss 0.8559	CE_Loss 0.8559
train_step 409	train_loss 0.8654	CE_Loss 0.8654
train_step 410	train_loss 0.7565	CE_Loss 0.7565
train_step 411	train_loss 0.7608	CE_Loss 0.7608
train_step 412	train_loss 0.8380	CE_Loss 0.8380
train_step 413	train_loss 0.8833	CE_Loss 0.8833
train_step 414	train_loss 2.0584	CE_Loss 2.0584
train_step 415	train_loss 0.6354	CE_Loss 0.6354
train_step 416	train_loss 0.7985	CE_Loss 0.7985
train_step 417	train_loss 0.7650	CE_Loss 0.7650
train_step 418	train_loss 0.7586	CE_Loss 0.7586
train_step 419	train_loss 0.7101	CE_Loss 0.7101
train_step 420	train_loss 0.7375	CE_Loss 0.7375
train_step 421	train_loss 0.7688	CE_Loss 0.7688
