train_step 455	train_loss 2.2879	MSE 2.2879
train_step 456	train_loss 1.7876	MSE 1.7876
train_step 457	train_loss 3.8984	MSE 3.8984
train_step 458	train_loss 1.5348	MSE 1.5348
train_step 459	train_loss 7.5866	MSE 7.5866
train_step 460	train_loss 0.2214	MSE 0.2214
train_step 461	train_loss 0.9105	MSE 0.9105
train_step 462	train_loss 3.7767	MSE 3.7767
train_step 463	train_loss 11.2126	MSE 11.2126
train_step 464	train_loss 0.1916	MSE 0.1916
train_step 465	train_loss 0.1812	MSE 0.1812
train_step 466	train_loss 8.1580	MSE 8.1580
train_step 467	train_loss 6.3497	MSE 6.3497
train_step 468	train_loss 1.3560	MSE 1.3560
train_step 469	train_loss 0.3339	MSE 0.3339
train_step 470	train_loss 0.1984	MSE 0.1984
train_step 471	train_loss 11.5381	MSE 11.5381
train_step 472	train_loss 1.2241	MSE 1.2241
train_step 473	train_loss 0.5981	MSE 0.5981
train_step 474	train_loss 11.4316	MSE 11.4316
train_step 475	train_loss 1.3680	MSE 1.3680
train_step 476	train_loss 7.9121	MSE 7.9121
train_step 477	train_loss 0.1941	MSE 0.1941
train_step 478	train_loss 0.1287	MSE 0.1287
train_step 479	train_loss 2.7491	MSE 2.7491
train_step 480	train_loss 0.8445	MSE 0.8445
train_step 481	train_loss 0.1361	MSE 0.1361
train_step 482	train_loss 2.4199	MSE 2.4199
train_step 483	train_loss 0.9228	MSE 0.9228
train_step 484	train_loss 1.7730	MSE 1.7730
train_step 485	train_loss 0.2267	MSE 0.2267
train_step 486	train_loss 3.5393	MSE 3.5393
train_step 487	train_loss 6.1993	MSE 6.1993
train_step 488	train_loss 6.1604	MSE 6.1604
train_step 489	train_loss 0.7411	MSE 0.7411
train_step 490	train_loss 0.0564	MSE 0.0564
train_step 491	train_loss 3.0165	MSE 3.0165
train_step 492	train_loss 1.0310	MSE 1.0310
train_step 493	train_loss 37.0098	MSE 37.0098
train_step 494	train_loss 4.6024	MSE 4.6024
train_step 495	train_loss 10.1011	MSE 10.1011
train_step 496	train_loss 1.5382	MSE 1.5382
train_step 497	train_loss 0.7196	MSE 0.7196
train_step 498	train_loss 1.8262	MSE 1.8262
train_step 499	train_loss 0.0852	MSE 0.0852
train_step 500	train_loss 103.0985	MSE 103.0985
train_step 501	train_loss 7.3212	MSE 7.3212
train_step 502	train_loss 78.9912	MSE 78.9912
train_step 503	train_loss 90.8718	MSE 90.8718
train_step 504	train_loss 6.3024	MSE 6.3024
train_step 505	train_loss 9.9103	MSE 9.9103
train_step 506	train_loss 1.1643	MSE 1.1643
train_step 507	train_loss 6.7566	MSE 6.7566
train_step 508	train_loss 5.0320	MSE 5.0320
train_step 509	train_loss 0.1294	MSE 0.1294
train_step 510	train_loss 0.1755	MSE 0.1755
train_step 511	train_loss 0.1582	MSE 0.1582
train_step 512	train_loss 0.9936	MSE 0.9936
train_step 513	train_loss 0.9644	MSE 0.9644
train_step 514	train_loss 0.3845	MSE 0.3845
train_step 515	train_loss 1.6478	MSE 1.6478
train_step 516	train_loss 0.5742	MSE 0.5742
train_step 517	train_loss 27.8751	MSE 27.8751
train_step 518	train_loss 1.4806	MSE 1.4806
train_step 519	train_loss 5.7651	MSE 5.7651
train_step 520	train_loss 0.0760	MSE 0.0760
train_step 521	train_loss 0.6164	MSE 0.6164
train_step 522	train_loss 0.2281	MSE 0.2281
train_step 523	train_loss 4.8610	MSE 4.8610
train_step 524	train_loss 23.0395	MSE 23.0395
train_step 525	train_loss 13.7612	MSE 13.7612
train_step 526	train_loss 0.2871	MSE 0.2871
train_step 527	train_loss 0.3099	MSE 0.3099
train_step 528	train_loss 0.9007	MSE 0.9007
train_step 529	train_loss 7.5020	MSE 7.5020
train_step 530	train_loss 0.5640	MSE 0.5640
train_step 531	train_loss 0.8869	MSE 0.8869
train_step 532	train_loss 0.6713	MSE 0.6713
train_step 533	train_loss 20.2680	MSE 20.2680
train_step 534	train_loss 28.9488	MSE 28.9488
train_step 535	train_loss 2.8837	MSE 2.8837
train_step 536	train_loss 1.2961	MSE 1.2961
train_step 537	train_loss 3.7852	MSE 3.7852
train_step 538	train_loss 1.2845	MSE 1.2845
train_step 539	train_loss 0.4489	MSE 0.4489
train_step 540	train_loss 0.2921	MSE 0.2921
train_step 541	train_loss 0.1403	MSE 0.1403
train_step 542	train_loss 2.2637	MSE 2.2637
train_step 543	train_loss 4.3871	MSE 4.3871
train_step 544	train_loss 1.5254	MSE 1.5254
train_step 545	train_loss 44.8747	MSE 44.8747
train_step 546	train_loss 3.5082	MSE 3.5082
train_step 547	train_loss 0.3051	MSE 0.3051
train_step 548	train_loss 0.2866	MSE 0.2866
train_step 549	train_loss 33.9554	MSE 33.9554
train_step 550	train_loss 0.3001	MSE 0.3001
train_step 551	train_loss 83.4922	MSE 83.4922
train_step 552	train_loss 2.4373	MSE 2.4373
train_step 553	train_loss 0.8643	MSE 0.8643
train_step 554	train_loss 0.6922	MSE 0.6922
train_step 555	train_loss 1.6627	MSE 1.6627
train_step 556	train_loss 0.3618	MSE 0.3618
train_step 557	train_loss 3.5212	MSE 3.5212
train_step 558	train_loss 10.2013	MSE 10.2013
train_step 559	train_loss 0.5745	MSE 0.5745
